machine_type,operating_hours,temperature_c,vibration_mm_s,pressure_bar,days_since_maintenance,shift,environment,error_count_30d,energy_kw,failure_next_7_days
B,9105,74.1,2.95,6.49,72,tarde,seco,3,41.33,0
C,1591,82.64,2.39,4.98,15,tarde,seco,1,45.5,0
B,2253,76.47,1.68,6.5,86,tarde,seco,3,39.49,0
C,1735,73.95,2.38,6.27,131,manana,seco,3,41.02,0
B,4161,75.32,4.88,,30,tarde,polvoriento,0,45.78,0
C,4602,75.35,2.68,6.41,223,manana,humedo,8,52.57,0
A,10596,64.53,3.98,7.13,155,tarde,humedo,7,45.62,0
C,5188,61.31,5.37,5.75,87,manana,seco,1,48.69,0
B,5096,63.19,3.11,6.01,83,tarde,seco,1,46.01,0
B,308,73.91,3.28,6.71,90,noche,seco,3,42.82,1
A,5910,89.55,2.91,7.86,101,tarde,seco,1,41.29,0
B,4087,70.47,1.82,4.87,139,manana,humedo,1,43.37,0
B,6128,73.73,4.34,5.96,171,tarde,seco,0,52.56,0
B,9340,76.55,4.84,5.67,40,manana,seco,2,51.4,1
B,2742,45.8,4.52,5.65,108,manana,humedo,0,50.92,0
B,2475,65.99,2.87,6.53,67,tarde,seco,0,49.87,0
C,6576,73.75,3.76,6.07,97,noche,humedo,3,52.78,1
A,6661,79.08,,6.11,78,noche,polvoriento,0,41.3,0
A,5451,74.56,4.63,5.65,139,manana,humedo,4,47.06,0
B,7002,68.43,4.66,5.75,108,manana,polvoriento,1,36.43,0
B,4112,66.44,2.33,6.73,78,noche,humedo,3,45.8,0
C,4787,63.63,4.5,7.01,90,noche,seco,1,69.39,0
B,7547,57.98,3.3,5.67,110,noche,seco,1,57.31,0
A,5188,80.5,3.88,5.77,10,manana,seco,4,52.63,0
C,7222,74.69,4.45,6.26,162,manana,polvoriento,0,59.01,0
A,1904,75.91,4.75,6.94,162,manana,humedo,4,51.66,0
B,5529,74.98,4.03,5.76,56,noche,seco,4,45.21,0
A,4043,66.02,4.33,7.29,47,noche,seco,4,42.41,1
A,5861,71.81,2.8,6.11,198,noche,seco,1,40.46,1
B,2124,75.05,,7.08,77,manana,seco,1,53.29,0
A,8987,74.15,4.72,8.03,63,tarde,seco,5,51.36,0
A,5676,70.84,4.5,6.65,144,manana,seco,1,47.08,0
A,6444,78.0,5.36,6.31,178,manana,humedo,2,44.18,0
A,3780,70.84,4.41,6.74,144,manana,polvoriento,2,53.49,0
B,1440,74.0,3.1,5.98,98,tarde,polvoriento,1,42.36,0
B,6728,67.14,4.56,5.53,74,noche,polvoriento,0,42.63,1
A,9024,67.36,5.2,5.9,83,tarde,seco,1,43.58,0
C,4052,58.51,3.6,6.66,104,manana,seco,2,53.7,0
B,4612,60.2,6.01,5.44,37,noche,seco,3,47.02,0
A,2780,70.34,3.68,6.49,63,manana,seco,1,34.79,0
A,5295,87.42,3.05,,51,noche,seco,0,34.21,0
B,5288,49.42,3.52,5.8,137,manana,polvoriento,2,40.42,0
A,2109,84.06,3.85,5.97,80,manana,seco,1,40.83,0
A,8364,58.5,3.94,,46,tarde,seco,3,45.01,0
C,6726,63.0,5.11,6.34,45,manana,seco,1,53.81,0
B,4051,73.95,5.61,5.45,104,tarde,seco,2,56.88,0
B,4585,78.0,3.93,7.24,43,manana,polvoriento,7,37.32,0
C,4965,65.74,4.91,6.78,48,tarde,seco,1,55.16,0
C,5744,65.79,2.49,5.25,63,noche,humedo,1,48.8,0
C,3428,77.22,5.67,5.16,41,tarde,seco,2,45.66,0
B,7094,69.48,2.19,6.35,69,tarde,seco,2,40.31,0
C,5852,79.01,,6.78,136,tarde,polvoriento,1,48.62,0
C,4764,71.22,6.0,6.05,195,noche,polvoriento,5,55.73,0
B,6735,70.34,3.12,5.89,175,manana,humedo,3,41.67,0
A,8013,55.92,4.64,5.64,40,manana,seco,3,44.2,1
B,2461,63.83,4.26,5.87,235,noche,polvoriento,0,52.22,0
B,4096,65.09,2.97,6.11,134,manana,seco,1,39.2,0
B,5753,65.55,,4.71,167,tarde,seco,1,44.17,0
B,6153,73.66,4.34,5.95,170,tarde,seco,0,52.57,0
C,4860,66.14,4.95,6.76,48,tarde,seco,1,55.68,0
C,1098,72.84,5.8,6.68,130,manana,humedo,1,51.19,0
A,5904,68.37,3.94,4.93,34,tarde,seco,1,40.75,0
A,8947,65.05,3.0,7.07,52,manana,seco,2,39.98,0
B,200,61.92,4.33,5.58,30,manana,polvoriento,2,42.1,0
B,3938,79.1,1.61,6.62,156,manana,humedo,1,41.61,0
B,2941,58.2,4.61,7.12,117,manana,humedo,1,41.35,0
A,5837,62.93,4.95,6.42,154,manana,polvoriento,3,44.13,0
C,3886,77.34,4.12,6.21,70,tarde,seco,2,57.75,1
C,3544,64.9,3.87,7.99,109,tarde,seco,1,50.07,0
A,3879,79.05,3.96,6.36,57,manana,seco,2,54.06,0
A,5143,65.88,4.44,6.37,110,manana,polvoriento,2,47.7,0
A,9200,62.16,2.3,5.66,124,tarde,seco,3,42.21,1
B,634,64.38,2.41,6.6,123,noche,humedo,1,46.9,0
B,5230,75.3,3.08,6.69,31,manana,,2,35.08,0
A,5968,66.94,4.06,8.28,46,manana,seco,1,38.67,0
B,5953,69.91,3.29,6.64,53,tarde,seco,0,53.82,0
A,3783,70.74,3.54,6.76,61,manana,humedo,1,35.09,0
C,7877,74.13,3.95,5.11,104,noche,seco,4,63.99,1
B,4377,78.78,2.66,5.34,94,manana,polvoriento,1,43.87,0
A,6239,67.19,1.92,5.94,100,tarde,seco,2,26.85,0
B,4578,60.26,6.02,5.41,38,noche,seco,3,47.13,0
C,7475,74.54,3.46,6.69,118,manana,seco,6,55.62,0
B,223,71.99,2.69,5.75,94,manana,seco,0,40.12,0
A,7140,79.19,4.73,6.27,161,manana,humedo,0,54.07,0
A,4685,48.34,3.0,6.31,41,manana,seco,3,47.52,0
B,7240,64.77,3.7,5.09,92,tarde,,3,45.56,0
C,4965,59.56,5.05,6.21,30,tarde,polvoriento,1,65.98,0
A,5207,64.71,3.39,6.72,96,tarde,seco,4,44.25,0
B,6439,73.99,2.87,7.82,86,noche,seco,5,41.21,0
A,5215,63.05,3.86,6.8,77,noche,seco,2,42.89,0
A,4166,69.34,2.79,5.14,70,manana,polvoriento,1,41.8,0
B,8915,66.74,2.54,6.95,26,noche,polvoriento,2,41.75,0
A,3499,71.89,4.89,6.73,15,tarde,seco,0,41.99,1
A,6833,60.49,5.33,5.84,63,tarde,seco,4,55.14,0
B,5747,65.59,4.12,7.15,115,tarde,seco,2,47.99,0
A,6196,56.18,2.62,5.93,79,noche,seco,4,32.78,0
B,2364,53.78,3.94,6.56,63,manana,humedo,3,41.47,0
B,7547,48.26,5.13,5.92,157,manana,polvoriento,1,53.87,0
A,5595,80.12,3.91,6.19,48,manana,seco,1,45.51,0
A,2206,71.96,4.32,8.01,97,manana,humedo,1,31.17,0
C,2222,90.48,5.5,6.08,88,noche,seco,1,47.1,0
C,1245,87.18,5.33,6.87,23,noche,seco,2,56.14,0
B,7463,77.62,4.0,6.29,52,tarde,humedo,0,45.04,0
A,8516,75.87,3.04,5.64,24,tarde,seco,4,49.65,0
B,7661,60.89,4.06,,24,tarde,polvoriento,3,49.58,0
A,3717,64.55,3.24,7.45,60,tarde,seco,0,43.05,0
B,5560,52.24,2.97,5.69,118,manana,seco,1,47.16,0
B,2354,76.11,1.71,6.5,85,tarde,seco,3,39.4,0
A,4889,56.36,5.03,4.62,103,manana,polvoriento,6,49.62,0
C,643,77.1,3.13,6.19,86,noche,humedo,1,41.84,0
A,3568,50.49,4.66,5.5,149,manana,seco,0,50.29,0
C,3890,58.61,2.45,6.18,123,tarde,seco,2,40.24,0
A,4745,61.93,3.81,6.59,85,tarde,seco,1,42.6,0
B,7434,76.84,3.85,5.62,192,tarde,humedo,7,51.05,0
A,4983,73.18,2.89,6.2,58,tarde,polvoriento,2,54.56,0
A,5687,57.56,4.0,6.8,97,tarde,seco,3,52.69,0
C,6415,84.49,4.82,6.66,42,manana,seco,1,42.08,0
C,7148,89.87,5.78,7.45,85,manana,seco,2,62.25,0
C,6767,57.93,4.39,5.37,136,tarde,seco,5,45.91,0
A,4983,63.36,3.75,7.4,14,manana,polvoriento,4,41.89,0
B,2308,76.18,1.68,6.53,86,tarde,seco,3,39.2,0
A,5382,73.24,3.02,7.26,40,tarde,seco,3,33.13,0
B,5001,47.65,1.38,5.75,113,tarde,polvoriento,1,31.97,0
B,5288,73.59,4.13,5.17,127,manana,seco,3,38.84,0
C,2274,90.49,5.5,6.07,89,noche,seco,1,47.4,0
A,4050,64.83,4.22,6.24,114,tarde,seco,3,58.05,0
B,4361,61.43,2.38,6.05,26,noche,humedo,2,44.34,0
C,3603,67.51,4.77,6.79,28,manana,polvoriento,3,60.38,0
C,3414,65.43,1.82,6.03,142,tarde,seco,2,48.54,0
B,4081,68.15,3.57,6.51,61,manana,seco,2,41.39,0
A,3840,72.34,4.08,6.01,152,manana,seco,2,51.54,0
B,5959,85.08,4.57,,85,manana,seco,4,46.64,0
A,1981,69.69,3.35,5.73,43,manana,seco,2,38.57,0
B,4243,68.41,4.6,6.51,172,manana,humedo,4,53.9,0
A,4113,75.37,4.09,6.92,183,manana,seco,0,56.26,0
A,7488,62.41,5.2,6.99,55,noche,seco,1,60.83,0
A,3533,71.93,4.24,6.4,73,manana,polvoriento,1,55.9,0
B,3450,58.65,4.24,5.94,77,tarde,polvoriento,4,51.35,0
A,5087,55.51,3.4,6.26,90,noche,seco,0,43.85,0
C,2395,67.85,2.51,6.82,8,tarde,seco,4,51.96,0
A,5283,49.77,4.83,,156,noche,seco,2,51.31,0
C,3765,74.75,4.53,5.85,134,noche,humedo,4,49.75,0
A,3825,85.67,2.99,6.55,126,noche,seco,1,51.71,0
C,5057,61.51,1.97,7.52,86,manana,seco,1,54.46,0
A,1636,79.26,1.76,6.73,113,tarde,seco,2,37.02,0
A,4288,56.46,3.98,5.77,44,tarde,polvoriento,1,32.97,0
A,10253,61.98,3.95,5.55,68,manana,seco,1,44.07,0
A,4913,61.93,2.47,6.8,36,noche,polvoriento,2,39.3,0
B,4302,71.15,3.25,6.53,45,manana,humedo,1,33.77,0
B,2403,70.94,3.99,5.1,103,tarde,humedo,0,55.71,0
B,7602,61.1,3.55,7.15,40,noche,seco,1,40.92,0
A,5637,57.6,4.04,6.78,97,tarde,seco,3,52.74,0
A,7352,64.84,6.0,5.91,142,tarde,humedo,0,46.99,0
A,7255,77.97,4.99,,135,manana,humedo,4,48.26,1
A,7600,67.74,5.36,7.68,58,tarde,polvoriento,2,39.91,0
A,5755,64.98,2.57,5.81,218,noche,seco,3,40.65,0
A,6058,66.06,3.84,7.04,121,manana,seco,1,42.54,0
B,4167,76.51,4.4,5.05,84,noche,humedo,2,39.69,0
A,3830,61.89,2.46,6.29,117,noche,seco,2,50.91,0
A,6681,79.2,3.08,6.73,77,manana,seco,4,44.81,0
A,4689,65.98,2.43,5.78,37,manana,,2,44.47,0
B,1342,79.77,4.44,6.22,118,noche,humedo,1,51.54,0
B,5798,54.44,3.28,7.29,21,tarde,polvoriento,1,56.66,0
B,2465,66.06,2.92,6.53,66,tarde,seco,0,49.76,0
A,3516,71.9,4.22,6.38,73,manana,polvoriento,1,55.62,0
A,6126,70.53,3.86,7.17,210,tarde,humedo,1,48.56,0
A,7989,70.89,3.69,7.4,60,noche,polvoriento,2,42.01,0
A,2665,72.58,2.29,6.1,54,tarde,humedo,3,46.89,0
B,3924,61.94,2.85,6.47,56,noche,seco,2,41.32,0
C,3682,72.18,5.39,6.86,172,tarde,seco,2,48.27,0
A,6197,82.21,,7.06,8,manana,humedo,3,43.06,1
A,8154,61.98,,6.14,112,noche,seco,3,48.24,0
B,4965,70.88,3.97,5.56,97,noche,seco,3,46.98,0
C,9608,79.54,3.91,6.14,23,tarde,polvoriento,3,57.67,0
A,4114,66.99,3.7,7.86,123,manana,humedo,4,47.09,0
C,3381,70.7,3.4,7.2,52,manana,polvoriento,0,55.42,0
B,4871,66.83,4.51,4.69,31,noche,seco,3,43.88,0
B,3759,82.47,4.58,6.07,112,tarde,seco,1,50.66,0
A,3133,65.16,4.03,6.41,142,tarde,seco,3,57.04,0
B,8707,81.19,3.54,5.92,81,noche,humedo,1,58.55,0
B,6246,68.46,4.43,6.48,21,tarde,seco,2,55.85,0
A,3729,73.49,6.19,4.63,32,noche,seco,1,59.29,0
B,2231,53.76,3.96,6.53,60,manana,humedo,3,41.77,0
B,4950,73.62,5.22,6.67,63,tarde,polvoriento,2,50.7,0
A,3803,67.87,3.27,6.71,115,noche,polvoriento,0,30.69,0
C,3497,67.48,4.8,6.82,32,manana,polvoriento,3,59.95,0
B,7845,61.22,3.49,7.18,39,noche,seco,1,40.82,0
A,2466,62.45,4.04,6.26,41,tarde,seco,3,53.72,0
B,4083,72.79,4.19,4.98,187,tarde,humedo,2,38.4,0
A,1418,67.24,,5.4,37,tarde,seco,2,42.18,0
A,270,83.11,3.01,5.25,113,manana,seco,1,41.45,0
A,6898,74.62,4.06,6.92,130,manana,humedo,1,43.43,0
C,6497,58.2,5.57,6.41,47,manana,humedo,1,64.3,0
B,4778,69.55,2.88,6.19,57,tarde,polvoriento,1,41.44,0
A,3402,72.31,3.99,5.57,164,tarde,polvoriento,1,50.98,0
B,6994,68.19,4.72,5.73,108,manana,polvoriento,1,36.46,0
A,5664,51.54,3.39,7.07,129,manana,seco,3,51.97,0
A,606,65.58,3.49,6.66,114,manana,humedo,0,48.6,0
B,4911,78.75,5.79,6.54,46,tarde,seco,1,52.12,0
C,4356,78.33,3.77,6.54,142,manana,polvoriento,5,66.15,0
A,5488,69.96,4.95,4.83,40,manana,seco,2,47.1,0
B,8308,85.61,3.76,6.72,77,tarde,humedo,4,46.99,0
B,5280,92.43,3.02,5.29,51,tarde,,1,47.2,0
B,3944,71.5,3.56,5.11,34,tarde,polvoriento,0,45.09,0
A,5960,73.54,0.87,6.78,66,tarde,seco,1,47.48,0
A,6755,57.01,6.5,5.54,86,manana,seco,4,51.5,1
B,3538,65.84,3.71,6.83,73,tarde,seco,2,41.87,0
B,7872,64.83,3.89,6.39,54,tarde,seco,3,42.24,0
A,7392,75.88,3.41,5.46,56,tarde,polvoriento,1,55.62,0
A,2748,58.94,5.84,5.47,35,noche,polvoriento,3,47.2,0
C,5188,68.1,3.06,5.8,53,noche,humedo,2,62.17,0
A,6425,60.59,,5.96,107,noche,polvoriento,0,45.78,0
B,7099,67.31,5.89,6.14,53,tarde,seco,1,54.0,0
A,7685,73.42,3.64,5.49,129,tarde,humedo,3,49.85,0
A,4438,60.15,4.68,6.74,96,tarde,seco,2,53.79,0
A,6638,66.02,3.64,5.48,41,tarde,seco,3,37.89,0
A,4420,65.45,3.04,6.18,77,tarde,seco,3,43.64,1
A,5913,71.21,3.25,6.01,97,manana,seco,3,42.8,1
B,6925,69.08,3.55,7.42,52,noche,seco,13,45.74,0
A,5677,76.61,3.99,6.29,108,manana,polvoriento,4,54.62,0
C,10380,63.97,4.41,6.46,53,tarde,polvoriento,2,43.35,0
A,11033,70.04,3.62,5.69,102,tarde,polvoriento,3,41.2,0
A,4216,72.69,4.78,6.78,71,manana,humedo,0,39.71,0
B,5476,66.46,2.41,5.84,56,manana,humedo,1,52.57,0
C,6461,59.14,4.65,6.64,72,tarde,polvoriento,3,52.53,0
B,6358,71.36,5.02,5.43,99,manana,polvoriento,2,53.37,0
B,6785,80.56,2.81,6.3,265,manana,seco,1,45.38,0
B,5490,59.16,3.61,6.48,108,manana,seco,1,47.64,0
B,6096,72.13,2.97,6.04,51,noche,polvoriento,7,29.26,1
A,3236,63.1,4.08,5.81,52,manana,seco,1,51.7,0
B,5481,92.84,4.65,5.89,197,manana,seco,1,39.63,1
A,3039,66.63,4.56,5.81,55,manana,seco,2,48.08,0
A,5609,64.31,,6.22,88,tarde,,4,37.61,0
B,5136,76.06,1.44,5.99,50,manana,polvoriento,2,29.0,0
A,2148,71.4,3.55,7.09,136,tarde,humedo,5,38.1,0
A,4980,71.02,1.53,7.35,68,tarde,humedo,1,44.46,0
C,6693,76.91,2.61,6.18,38,tarde,seco,1,46.17,0
B,3126,58.02,4.63,4.33,20,noche,seco,2,51.17,0
B,246,74.34,3.62,5.27,79,tarde,seco,0,38.44,0
C,5972,82.64,4.77,,91,tarde,humedo,4,50.51,1
B,4181,72.98,4.15,4.99,189,tarde,humedo,2,38.28,0
C,7443,59.66,4.82,6.21,102,noche,seco,0,59.12,0
B,5659,65.5,4.08,7.14,114,tarde,seco,2,48.11,0
A,4214,62.26,3.37,7.71,84,noche,seco,2,49.26,0
C,6306,66.16,4.65,7.47,74,manana,polvoriento,2,65.99,0
A,3587,75.53,5.27,4.82,107,tarde,humedo,4,49.59,0
A,3188,70.01,2.93,5.54,38,tarde,polvoriento,2,47.5,0
B,5624,72.82,4.28,6.36,118,tarde,polvoriento,2,31.71,0
C,3585,69.19,2.12,6.31,42,manana,polvoriento,1,43.12,0
A,2708,64.47,4.13,5.89,45,noche,seco,3,36.52,0
B,2721,67.62,3.42,5.48,82,tarde,seco,0,52.18,0
B,7005,79.29,6.2,6.41,15,tarde,seco,4,53.63,1
B,2630,77.56,1.88,6.52,81,tarde,seco,1,41.61,0
A,6088,60.11,4.24,6.42,29,tarde,seco,1,46.37,0
C,6450,73.72,3.82,6.04,93,noche,humedo,3,53.23,1
B,5352,83.91,4.59,6.55,183,tarde,seco,2,43.72,0
B,1456,73.8,2.77,5.98,117,tarde,polvoriento,2,39.04,0
B,6763,78.4,2.48,5.76,49,manana,humedo,3,46.71,1
A,200,67.38,3.04,7.25,70,noche,humedo,2,41.39,0
A,4268,63.78,3.44,6.4,140,tarde,seco,4,51.19,0
B,8959,71.73,3.14,6.07,37,tarde,humedo,2,40.49,0
A,11157,70.27,3.64,5.71,102,tarde,polvoriento,3,41.49,0
A,7202,53.25,5.21,5.37,95,noche,seco,1,50.41,1
B,6954,79.78,6.22,6.4,18,tarde,seco,4,53.3,1
A,8286,72.0,3.79,6.07,41,noche,humedo,3,50.2,0
B,293,63.23,5.04,5.96,177,tarde,seco,1,55.22,0
B,7777,70.91,4.16,6.54,27,noche,polvoriento,1,37.84,0
A,668,71.59,3.41,4.75,159,tarde,humedo,1,44.02,0
C,5699,64.01,4.02,5.12,65,tarde,humedo,2,52.74,0
C,2926,79.07,3.27,6.95,51,noche,seco,1,52.71,0
A,8836,73.12,3.97,6.48,101,noche,humedo,2,41.73,0
A,4213,75.93,4.36,5.54,80,noche,seco,1,48.12,0
B,8130,60.98,4.23,,125,manana,humedo,1,50.7,0
A,4813,57.39,3.05,5.87,73,tarde,seco,1,41.8,0
A,3677,77.1,3.2,4.6,93,tarde,seco,0,43.59,0
B,6484,52.99,5.61,6.36,84,manana,seco,0,49.62,0
C,3638,77.6,5.64,5.17,40,tarde,seco,2,45.66,0
A,2423,71.36,3.58,6.14,57,tarde,seco,3,31.79,0
C,6440,68.03,4.68,6.59,29,noche,polvoriento,2,62.36,0
A,5345,57.0,2.65,6.0,147,manana,seco,6,37.93,0
A,7896,72.78,3.57,5.68,54,noche,seco,0,39.29,0
C,5317,71.0,5.42,5.71,187,noche,,0,52.99,0
B,4766,71.31,2.97,6.42,104,manana,seco,1,53.36,0
A,546,65.65,3.45,6.67,114,manana,humedo,0,48.68,0
A,2103,71.88,3.73,5.95,51,noche,humedo,0,54.77,0
C,1676,67.42,4.13,6.19,57,manana,polvoriento,1,62.3,0
A,2760,83.51,2.05,6.32,94,tarde,seco,0,45.45,0
A,6124,58.36,3.67,6.4,110,noche,seco,3,39.09,0
A,3836,83.89,4.13,6.17,177,tarde,seco,2,38.46,1
C,4456,73.73,,5.51,80,tarde,seco,2,56.15,0
B,6433,65.43,3.76,6.01,71,tarde,seco,3,54.31,0
A,6842,56.01,2.6,7.29,59,noche,polvoriento,2,38.17,0
C,5219,60.08,3.01,6.09,67,tarde,humedo,1,45.03,0
A,4235,72.21,4.1,6.28,94,manana,humedo,0,43.09,0
C,3206,75.22,5.2,5.0,89,tarde,seco,0,62.31,1
A,4154,65.75,4.03,5.88,84,tarde,polvoriento,3,43.94,0
B,6165,73.37,4.38,5.96,171,tarde,seco,0,52.22,0
A,200,73.65,2.05,7.04,69,manana,humedo,2,44.2,0
C,6180,71.59,6.17,6.77,69,manana,seco,1,60.44,1
A,5517,53.09,4.86,6.64,120,tarde,seco,3,49.71,0
A,3381,61.66,4.12,6.33,77,tarde,seco,3,37.02,0
A,8067,57.0,4.47,6.05,70,manana,humedo,5,51.35,0
A,5498,73.59,4.59,7.02,68,tarde,seco,1,45.56,0
A,6000,75.12,3.65,6.45,109,manana,seco,0,46.98,0
A,5465,68.88,4.43,6.76,53,tarde,humedo,3,37.79,0
A,6022,62.01,4.44,7.74,64,tarde,humedo,3,54.36,0
B,3862,71.43,1.61,6.49,24,tarde,humedo,1,36.26,0
B,4459,74.99,4.54,5.2,29,noche,polvoriento,0,55.66,0
B,11547,70.89,5.13,5.92,93,tarde,humedo,4,42.68,0
A,6765,56.58,6.49,5.52,85,manana,seco,4,51.34,1
B,7433,77.57,3.99,6.29,50,tarde,humedo,0,44.86,0
B,1347,70.67,1.19,6.45,59,tarde,seco,0,40.59,0
C,8345,75.16,5.64,5.63,140,tarde,humedo,3,33.69,0
B,6624,75.82,4.63,6.91,67,tarde,seco,0,41.97,0
A,6043,64.71,3.25,5.43,40,manana,seco,1,46.97,0
C,6359,73.97,4.11,6.33,14,noche,seco,0,50.28,0
B,6094,66.12,4.0,7.63,101,manana,seco,2,46.11,0
A,1970,68.48,5.19,5.77,56,manana,humedo,0,40.39,0
A,2620,71.49,2.31,5.23,29,tarde,polvoriento,1,38.17,0
B,4965,64.54,2.67,4.35,38,tarde,humedo,3,48.12,0
B,9079,73.98,2.86,6.51,73,tarde,seco,3,41.71,0
B,6290,70.56,2.81,6.74,91,tarde,seco,6,49.43,0
C,6925,69.24,5.54,6.1,20,manana,seco,3,45.17,0
A,5331,69.34,5.31,5.61,38,tarde,humedo,2,43.92,0
B,4271,75.62,4.28,6.12,111,manana,polvoriento,2,47.57,1
A,11281,59.46,3.97,7.08,127,noche,seco,5,45.3,1
A,5243,61.34,5.07,6.45,57,manana,seco,3,47.88,0
A,5739,64.01,4.24,5.72,64,tarde,seco,1,47.31,0
B,6855,73.41,2.62,6.07,124,tarde,seco,5,47.0,0
A,2959,73.79,2.86,5.1,144,tarde,seco,3,40.78,0
B,6078,73.81,4.37,5.98,170,tarde,seco,0,52.87,0
B,5892,78.3,3.0,5.12,91,noche,humedo,3,45.66,0
B,4160,72.98,7.08,6.04,100,manana,polvoriento,2,43.58,0
C,8828,61.83,5.79,5.88,48,noche,polvoriento,3,46.92,1
A,3893,76.25,1.26,6.73,98,tarde,seco,1,50.86,0
B,7236,70.85,3.02,6.67,46,tarde,humedo,0,45.76,0
A,9526,79.62,5.51,5.29,110,noche,humedo,2,55.33,1
A,6155,49.3,6.07,5.23,153,manana,seco,2,50.46,0
B,5246,90.69,3.97,5.82,81,manana,seco,3,43.86,0
A,4052,61.07,2.81,6.44,91,tarde,polvoriento,1,58.72,0
A,3742,71.82,,7.54,128,tarde,humedo,3,52.38,0
C,947,62.78,5.19,7.46,64,manana,seco,3,51.9,0
B,4093,47.23,3.72,5.35,74,noche,polvoriento,0,39.2,0
B,7626,65.16,,6.2,24,noche,seco,7,39.09,0
A,2006,81.08,,4.52,35,noche,seco,0,54.75,0
B,4156,75.01,5.02,6.78,156,tarde,polvoriento,0,41.22,1
C,4692,66.09,2.69,6.43,77,tarde,polvoriento,1,33.2,0
C,7056,70.58,3.92,6.34,67,tarde,humedo,2,47.82,0
C,6225,61.42,3.37,5.66,188,noche,polvoriento,2,47.26,1
A,5988,68.64,3.05,6.46,90,manana,seco,1,60.65,0
B,6633,75.78,4.69,6.91,68,tarde,seco,0,41.72,0
B,6060,88.1,4.4,6.07,52,manana,humedo,1,41.25,0
B,8339,85.67,3.72,6.77,78,tarde,humedo,4,47.27,0
B,6548,75.23,4.12,5.63,103,noche,seco,2,38.37,0
B,1763,54.94,4.19,7.09,36,noche,polvoriento,3,37.89,0
B,5000,68.94,4.28,6.88,142,manana,seco,2,47.62,0
A,6200,66.99,3.06,6.65,104,tarde,seco,4,45.81,0
A,5979,60.77,4.42,6.01,97,manana,seco,3,43.61,0
B,3062,65.1,3.46,5.58,90,tarde,polvoriento,4,32.02,0
A,2327,80.8,3.74,5.47,80,manana,seco,0,51.65,0
A,3752,69.03,4.58,5.79,71,manana,polvoriento,0,46.6,1
C,6037,59.66,5.12,6.41,127,manana,polvoriento,5,44.03,0
A,3251,68.1,3.82,6.92,87,manana,seco,1,45.5,0
C,5707,74.83,3.79,6.66,96,tarde,humedo,0,37.2,0
A,9634,59.07,3.78,5.61,51,manana,,4,36.34,0
B,5306,85.48,4.27,5.98,68,tarde,seco,1,57.81,0
B,9260,74.68,,5.78,135,tarde,seco,2,37.11,0
A,5423,69.89,4.98,4.79,38,manana,seco,2,47.78,0
A,6232,55.85,4.34,5.94,22,noche,seco,4,35.1,0
A,7933,60.34,3.55,6.38,101,manana,polvoriento,0,47.5,0
B,4177,68.28,4.59,6.54,174,manana,humedo,4,53.78,0
B,2809,74.17,2.98,5.74,106,tarde,seco,3,48.78,0
B,4476,85.13,2.28,7.67,33,tarde,seco,1,45.95,0
B,9482,68.46,3.0,5.94,90,manana,humedo,1,35.26,0
A,6628,54.49,5.78,6.73,102,manana,seco,0,44.89,0
B,4048,72.42,4.23,4.98,186,tarde,humedo,2,38.63,0
A,5019,63.34,3.8,7.4,12,manana,polvoriento,4,42.02,0
A,6539,62.25,4.0,6.61,45,tarde,seco,0,54.84,0
C,6337,73.15,4.54,6.0,33,manana,seco,3,57.26,0
B,4061,72.02,2.37,7.89,67,manana,seco,3,46.43,0
C,7872,91.49,5.54,6.06,34,manana,humedo,1,44.36,0
C,5126,59.98,2.94,6.09,69,tarde,humedo,1,44.92,0
B,3612,65.77,3.75,6.83,72,tarde,seco,2,42.0,0
B,9316,74.53,,5.76,134,tarde,seco,2,37.63,0
A,7604,87.17,4.2,5.08,54,noche,seco,3,41.85,0
B,8915,71.17,3.14,6.04,41,tarde,humedo,2,40.01,0
A,4993,53.85,3.87,7.27,162,tarde,humedo,0,46.08,0
A,5725,79.31,4.74,6.13,125,manana,seco,2,47.77,0
B,6982,74.51,2.37,6.43,107,noche,seco,3,47.63,0
B,5353,84.39,6.15,5.03,50,manana,seco,2,39.43,1
A,2260,73.67,3.76,6.08,85,manana,seco,3,39.76,0
A,3017,74.59,2.9,7.3,157,noche,humedo,3,45.68,0
B,2751,65.38,2.35,5.77,77,noche,seco,2,40.54,0
B,6329,57.16,4.29,5.46,55,manana,humedo,0,40.41,0
A,4063,69.19,2.8,5.11,70,manana,polvoriento,1,41.39,0
A,8793,58.82,5.59,5.88,156,noche,seco,4,45.09,0
C,5669,85.92,6.14,7.28,37,tarde,humedo,0,40.36,0
A,5508,71.61,4.53,6.7,143,manana,seco,1,47.82,0
A,4118,65.42,5.38,6.46,90,tarde,humedo,4,46.98,0
C,4095,72.08,2.73,6.5,86,noche,humedo,3,44.7,0
A,5409,71.38,4.26,7.33,81,noche,humedo,1,46.3,0
B,7388,68.85,2.11,5.67,83,noche,polvoriento,4,47.71,0
A,2068,60.58,1.19,6.61,140,tarde,seco,0,49.29,0
A,1602,62.16,3.07,6.91,61,manana,seco,1,48.48,0
A,3789,72.39,4.09,6.0,156,manana,seco,2,51.72,0
A,200,83.89,3.02,5.24,111,manana,seco,1,41.32,0
B,2492,79.61,3.61,,61,manana,humedo,3,40.9,1
C,8713,74.16,3.4,7.53,63,tarde,seco,1,45.1,0
A,7445,59.7,4.35,6.07,36,tarde,humedo,5,39.78,1
